"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Kilkerran Work in Progress Sherry Wood","8.63","0.41","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalwhinnie 15yo","8.63","0.35","20","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Highland Park 12yo (all reviews)","8.63","0.22","26","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.63","0.19","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Hankey Bannister Heritage","8.63","0.33","5","$$","Scotch-like","","","Scotland","Blend"
"FEW Rye Whisky","8.63","0.55","7","$$$$","Rye-like","","R4","USA","Rye"
"Old Forester Statesman","8.63","0.39","5","$$$","Bourbon-like","","R2","USA","Bourbon"
"Dalmore Port Wood Reserve","8.62","0.29","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 7)","8.62","0.49","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 21yo","8.62","0.29","16","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.62","0.39","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ohishi Sherry Single Cask","8.62","0.46","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Vintage 1995 (all bottlings)","8.62","0.31","17","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach Cask Strength","8.62","0.41","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenmorangie The Tarlogan","8.62","0.32","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hibiki 12yo","8.62","0.24","21","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Two Brewers Classic (all releases)","8.62","0.43","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Bowmore 15yo Mariner","8.62","0.47","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mackmyra Svensk Rök","8.62","0.21","5","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Laphroaig Lore","8.62","0.29","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Forty Creek Copper Pot Reserve","8.62","0.41","15","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Canada 2018","8.62","0.31","6","$$","Rye-like","","","Canada","Rye"
"Millstone 100 Rye","8.62","0.37","9","$$$$","Rye-like","","","Netherlands","Rye"
"Barrell Whiskey Batch 002","8.62","0.48","3","$$$$","Bourbon-like","","","USA","Blend"
"Eagle Rare 10yo","8.62","0.30","24","$$","Bourbon-like","","R1","USA","Bourbon"
"AnCnoc 2000","8.61","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg Galileo","8.61","0.60","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo Cask Strength","8.61","0.27","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain Moine (all bottlings)","8.61","0.52","13","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 15yo","8.61","0.47","18","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Magnus (2017)","8.61","0.17","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Valkyrie","8.61","0.21","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Fine Oak","8.61","0.26","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Black Art 4.x 1990","8.61","0.60","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Cipher","8.61","0.33","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Timorous Beastie 18yo","8.61","0.31","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Longrow 10yo","8.61","0.43","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 10yo Curiositas","8.61","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Vault Edition First Release","8.61","0.27","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Game of Thrones The Night’s Watch Oban Bay Reserve","8.61","0.30","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Coull Point","8.61","0.29","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2016)","8.61","0.57","5","$$$$","SingleMalt-like","J","J","India","Malt"
"Johnnie Walker Blue Label","8.61","0.45","18","$$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo Reserve","8.61","0.24","6","$$$","Scotch-like","","","Ireland","Blend"
"Crown Royal Monarch 75th Anniversary","8.61","0.45","12","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Evolution","8.61","0.73","9","$$$","Rye-like","","","Canada","Blend"
"Michter's Single Barrel Straight Rye","8.61","0.43","12","$$$","Rye-like","","R4","USA","Rye"
"Smooth Ambler Old Scout 7yo Rye","8.61","0.39","8","$$$","Rye-like","","R4","USA","Rye"
"Barrell Bourbon Batch 002","8.61","0.58","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (wheat, 2015)","8.61","0.25","3","$$$$$","Bourbon-like","","R0","USA","Bourbon"
"Willett Pot Still Reserve","8.61","0.48","10","$$$","Bourbon-like","","R2","USA","Bourbon"
"Balblair 1989","8.60","0.39","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Hazelburn 12yo (Springbank)","8.60","0.32","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 14yo Portwood","8.6","0.33","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Special 09","8.60","0.21","4","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Paul John Classic Select Cask","8.60","0.38","7","$$$$","SingleMalt-like","EF","E","India","Malt"
"Mackinlay's Shackleton Rare Old Highland Malt Journey edition","8.60","0.22","11","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Stronachie 18yo","8.6","0.3","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Westland Garryana","8.6","0.39","9","$$$$$","SingleMalt-like","GH","G","USA","Malt"
"Bruichladdich Islay Barley (all vintages)","8.60","0.17","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo Viking Scars","8.60","0.55","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 7.4","8.60","0.63","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Black Bull 12yo","8.60","0.32","11","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box The Circle","8.60","0.31","3","$$$$$+","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 21yo Partner's Reserve","8.60","0.42","6","$$$$","Scotch-like","","","Scotland","Blend"
"Barrell Whiskey Batch 004","8.60","0.45","5","$$$$","Bourbon-like","","","USA","Blend"
"Barton 1792 Full Proof Bourbon","8.60","0.50","8","$$$","Bourbon-like","","R2","USA","Bourbon"
"Barton 1792 Single Barrel Bourbon","8.60","0.39","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Ezra Brooks 7yo Old Ezra 101","8.60","0.21","6","$$","Bourbon-like","","R1","USA","Bourbon"
"Aberlour A'Bunadh (Batch 57)","8.59","0.50","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15yo Darkest","8.59","0.33","23","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 15yo Tawny Port Finish","8.59","0.47","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Caol Ila 17yo Unpeated 2015","8.59","0.46","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Oak Cross","8.59","0.35","16","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich 18yo","8.59","0.34","22","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kilkerran Work in Progress","8.59","0.34","15","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine 20yo","8.59","0.29","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bowmore 17yo White Sands","8.59","0.31","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 7yo Gaja Barolo Finish","8.59","0.51","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mars Kogamatake The Revival 2011","8.59","0.44","5","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi NAS","8.59","0.29","13","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Talisker Storm","8.59","0.27","20","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Gooderham & Worts Four Grain","8.59","0.28","13","$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Wheat 12yo","8.59","0.27","9","$$$$","Rye-like","","","Canada","Wheat"
"Knob Creek Small Batch 9yo Bourbon","8.59","0.37","24","$$","Bourbon-like","","R2","USA","Bourbon"
"Stranahan's Colorado Whiskey","8.59","0.35","14","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Balvenie 16yo Triple Cask","8.58","0.24","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Original","8.58","0.22","22","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 15yo Solera","8.58","0.25","26","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Copperworks American Single Malt","8.58","0.22","5","$$$","SingleMalt-like","EF","E","USA","Malt"
"Glenlivet 18yo","8.58","0.22","24","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"AnCnoc 12yo","8.58","0.32","20","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Aultmore 18yo","8.58","0.19","6","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Linkwood 12yo (F&F)","8.58","0.33","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Preludium 03","8.58","0.86","5","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Compass Box Eleuthera","8.58","0.40","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Elements of Islay ""Peat""","8.58","0.75","6","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Edited","8.58","0.40","9","$$$","SingleMalt-like","I","I","India","Malt"
"Buchanan's 18yo Special Reserve Blended","8.58","0.32","7","$$$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister 12yo Regency","8.58","0.21","7","$$","Scotch-like","","","Scotland","Blend"
"Rittenhouse Rye 100 Proof","8.58","0.22","18","$$","Rye-like","","R4","USA","Rye"
"Sazerac Straight Rye","8.58","0.45","16","$$","Rye-like","","R4","USA","Rye"
"Corner Creek Reserve Bourbon","8.58","0.36","8","$$","Bourbon-like","","R2","USA","Bourbon"
"Jack Daniel's Master Distiller (all series)","8.58","0.17","5","$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Single Barrel","8.58","0.15","4","$$","Bourbon-like","","R2","USA","Bourbon"
"Glenfarclas 12yo","8.57","0.32","21","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Sherry Single Cask","8.57","0.63","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tobermory 15yo","8.57","0.33","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc Flaughter","8.57","0.32","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Alberta Premium Dark Horse","8.57","0.35","17","$","Rye-like","","","Canada","Blend"
"Canadian Club 20yo","8.57","0.28","11","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Blender's Select","8.57","0.10","4","$$","Rye-like","","","Canada","Blend"
"Lot 40 Cask Strength (2019)","8.57","0.56","3","$$$$","Rye-like","","","Canada","Rye"
"Barrell Whiskey Batch 001","8.57","0.27","3","$$$$","Bourbon-like","","","USA","Blend"
"Barrell Infinity Barrel Project (all releases)","8.57","0.34","4","$$$$","Bourbon-like","","","USA","Blend"
"Aberfeldy 18yo","8.56","0.25","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Port Cask Finish","8.56","0.37","14","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 18yo","8.56","0.32","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Dornoch","8.56","0.47","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.56","0.46","25","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Santis Alpstein (all editions)","8.56","0.09","3","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Spirit of Hven Sankt Claus","8.56","0.58","3","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Craigellachie 17yo","8.56","0.19","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes 12yo","8.56","0.33","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2015","8.56","0.36","6","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Sullivans Cove American Oak","8.56","0.37","7","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Mars Maltage Cosmo","8.56","0.22","5","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Nikka Miyagikyo NAS","8.56","0.21","9","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"GlenDronach Peated","8.56","0.29","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bunnahabhain Toiteach","8.56","0.36","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Alberta Rye Dark Batch","8.56","0.24","9","$$","Rye-like","","","Canada","Blend"
"High West Double Rye Campfire Barrel","8.56","0.31","5","$$$","Rye-like","","R4","USA","Rye"
"Jefferson's Straight Rye 10yo","8.56","0.34","7","$$$","Rye-like","","R4","USA","Rye"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.56","0.37","8","$$$","Bourbon-like","","R3","USA","Bourbon"
"Parker’s Heritage 9th 8yo Malt Whiskey","8.56","0.51","8","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Stagg Jr (all batches)","8.56","0.42","20","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Bowmore 12yo Enigma","8.55","0.37","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)","8.55","0.22","3","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 12yo Cask Strength","8.55","0.42","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 4)","8.55","0.27","7","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie A Midwinter Night’s Dram","8.55","0.30","8","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin Oloroso Sherry 1995","8.55","0.57","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Westland Winter 2016","8.55","0.52","5","$$$$","SingleMalt-like","ABC","C","USA","Malt"
"Deanston 18yo (Bourbon Finish)","8.55","0.48","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glengoyne 17yo","8.55","0.27","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Two Brewers Innovative (all releases)","8.55","0.3","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Inchgower 14yo (F&F)","8.55","0.54","8","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Two Brewers Release 01 Classic","8.55","0.56","4","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Arran Malt Machrie Moor Cask Strength","8.55","0.67","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Peated Quarter Casks","8.55","0.34","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 12yo","8.55","0.29","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Buffalo Trace Bourbon","8.55","0.37","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 12th 2018 Finished in Orange Curaçao Barrels","8.55","0.69","4","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Dalwhinnie Distillers Edition","8.54","0.28","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 12yo","8.54","0.34","12","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan 12yo Sherry Oak","8.54","0.34","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 30yo Fine Oak","8.54","0.36","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove Port Cask Strength","8.54","0.62","8","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Tyrconnell 10yo Madeira Cask Finish","8.54","0.34","12","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Arran Malt 10yo","8.54","0.26","23","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 10yo","8.54","0.16","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Spirit of Hven Urania","8.54","0.48","3","$$$$$+","SingleMalt-like","GH","H","Sweden","Malt"
"Yamazaki Puncheon","8.54","0.38","11","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Balvenie 14yo Peat Week","8.54","0.40","11","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 18yo","8.54","0.42","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.54","0.52","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Great King St Artist's Blend","8.54","0.36","23","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker 15yo Green Label","8.54","0.35","22","$$$$","Scotch-like","","","Scotland","Blend"
"Powers Signature Release","8.54","0.47","8","$$$","Scotch-like","","","Ireland","Blend"
"Caribou Crossing Single Barrel","8.54","0.34","14","$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's 18yo","8.54","0.41","18","$$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Barley 10yo","8.54","0.60","7","$$$$","Rye-like","","","Canada","Barley"
"Shelter Point Artisanal Cask Strength Whisky","8.54","0.17","5","$$$$","Rye-like","","","Canada","Blend"
"Bulleit Bourbon Barrel Strength","8.54","0.27","9","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.54","0.33","16","$$","Bourbon-like","","R2","USA","Bourbon"
"Dalmore 18yo","8.53","0.39","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 1999 Sherry Cask Matured","8.53","0.86","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 18yo","8.53","0.30","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Sherry Oak","8.53","0.49","8","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Macallan Whisky Maker's Edition","8.53","0.36","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Talisker Port Ruighe","8.53","0.35","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Sauternes Finish","8.53","0.29","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Pure Malt Red","8.53","0.31","10","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Yamazaki Distiller's Reserve","8.53","0.29","8","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Ichiro's Malt Chichibu The Floor Malted","8.53","0.42","7","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Penderyn Celt","8.53","0.39","6","$$$","SingleMalt-like","I","I","Wales","Malt"
"Westland Peated","8.53","0.43","12","$$$$","SingleMalt-like","I","I","USA","Malt"
"Nikka 12yo Premium Blended","8.53","0.17","6","$$$$$","Scotch-like","","","Japan","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.53","0.28","12","$$$","Scotch-like","","","Ireland","Grain"
"Collingwood 21yo","8.53","0.42","13","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Northern Harvest Rye","8.53","0.32","18","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Triple Barrel Rye","8.53","0.25","9","$","Rye-like","","","Canada","Blend"
"Wayne Gretzky No. 99 Ninety Nine Proof","8.53","0.37","4","$$$$","Rye-like","","","Canada","Blend"
"Barton 1792 Small Batch Bourbon","8.53","0.39","19","$$","Bourbon-like","","R2","USA","Bourbon"
"Koval Single Barrel Four Grain","8.53","0.25","5","$$$$","Bourbon-like","","R0","USA","Grain"
"Aberlour Casg Annamh","8.52","0.31","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast All Sherry Single Cask 1999","8.52","0.87","5","$$$$$","SingleMalt-like","ABC","A","Ireland","Malt"
"Teerenpeli Distiller’s Choice AURA","8.52","0.08","3","$$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.52","0.32","11","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glenfiddich 14yo Rich Oak","8.52","0.33","12","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 16yo","8.52","0.31","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Bourbon Cask Strength","8.52","0.74","6","$$$$","SingleMalt-like","EF","F","Tasmania","Malt"
"GlenDronach 14yo Virgin Oak","8.52","0.36","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Box (High Coast) Early Days (batches 01/02)","8.52","0.26","3","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Jameson Round Irish Whiskey","8.52","0.38","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Gold Route","8.52","0.36","9","$$$$","Scotch-like","","","Scotland","Blend"
"Crown Royal XO","8.52","0.53","8","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Alumni Series Larry Robinson 6yo","8.52","0.49","3","$$","Rye-like","","","Canada","Rye"
"Wild Turkey 101 Rye","8.52","0.29","15","$$","Rye-like","","R4","USA","Rye"
"Barton 1792 Port Finished Bourbon","8.52","0.17","8","$$$","Bourbon-like","","R2","USA","Bourbon"
"Amrut PX Sherry Single Cask 2701","8.51","0.72","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glenmorangie Duthac","8.51","0.25","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Madeira Cask Matured","8.51","0.58","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 14yo Carribean Cask","8.51","0.33","21","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Box (High Coast) The Messenger","8.51","0.42","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Grant 18yo","8.51","0.63","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Green Spot","8.51","0.34","21","$$$$","SingleMalt-like","EF","F","Ireland","Malt"
"Mackmyra Moment Jord","8.51","0.68","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Teerenpeli Distiller’s Choice RASI","8.51","0.39","3","$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Westland American Single Malt (American Oak)","8.51","0.31","16","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Ardmore Traditional Cask","8.51","0.21","22","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 14yo","8.51","0.37","23","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 2 Merak","8.51","0.36","4","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Compass Box Great King St Glasgow Blend","8.51","0.24","16","$$$","Scotch-like","","","Scotland","Blend"
"Powers Three Swallow","8.51","0.42","4","$$$","Scotch-like","","","Ireland","Blend"
"J.P. Wiser's One Fifty","8.51","0.35","9","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye","8.51","0.26","5","$$$","Rye-like","","","Canada","Blend"
"Barrell Whiskey (all Batches)","8.51","0.49","7","$$$$","Bourbon-like","","","USA","Blend"
"Arran Malt Sherry Single Cask","8.50","0.51","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.50","0.43","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie The Tayne","8.50","0.21","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Midvinter","8.50","0.55","3","$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Kininvie 23yo (all batches)","8.50","0.38","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 21yo Fine Oak","8.50","0.40","6","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Breton 15yo Battle of the Glen","8.50","0.27","7","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Garioch 1997","8.50","0.17","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo","8.50","0.25","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 10yo","8.50","0.29","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Kilchoman Winter 2010 Release","8.50","0.15","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Chivas Royal Salute 21yo","8.50","0.59","9","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.50","0.60","20","$$$$","Scotch-like","","","Scotland","Blend"
"Jim Beam 12yo Signature Craft","8.50","0.33","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Glengoyne 15yo","8.49","0.52","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Auchentoshan Bartender's Malt","8.49","0.45","9","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 16yo","8.49","0.31","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aultmore 12yo","8.49","0.22","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Ichiro's Malt Chichibu The First","8.49","0.42","13","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Old Pulteney Huddart","8.49","0.24","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenfiddich Vintage Cask","8.49","0.27","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Teerenpeli Suomi 100 Juhlaviski","8.49","0.57","3","$$$$","SingleMalt-like","I","I","Finland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.49","0.39","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jameson Cooper's Croze Irish Whiskey","8.49","0.31","8","$$$$","Scotch-like","","","Ireland","Blend"
"High West Yippee Ki-Yay","8.49","0.66","9","$$$$","Rye-like","","R4","USA","Rye"
"J.P. Wiser's Alumni Series Guy Lafleur 10yo","8.49","0.09","5","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Small Batch","8.49","0.28","11","$","Rye-like","","","Canada","Blend"
"Willett Family Estate 2yo Rye","8.49","0.29","9","$$$","Rye-like","","R4","USA","Rye"
"Ancient Age 10yo Kentucky Straight Bourbon","8.49","0.40","6","$","Bourbon-like","","R2","USA","Bourbon"
"Bulleit 10yo","8.49","0.35","18","$$$","Bourbon-like","","R3","USA","Bourbon"
"Jack Daniel's Single Barrel","8.49","0.35","17","$$$","Bourbon-like","","R1","USA","Bourbon"
"Koval Single Barrel Bourbon","8.49","0.52","8","$$$","Bourbon-like","","R0","USA","Bourbon"
